epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,5.1544956983659365,3.12644983329566,0.7260521650314331,0.7820976376533508
2,2.072919789870026,2.06362085963244,0.8089336156845093,0.8128390312194824
3,1.328003456449127,1.5206534506830558,0.8564420342445374,0.8345388770103455
4,0.9404806714017293,1.184323028888668,0.881229043006897,0.8779385089874268
5,0.7847634287819886,1.3305547860927651,0.8853601813316345,0.8571428656578064
6,0.7054306056620753,0.9696756753309295,0.8980118632316589,0.8670886158943176
7,0.5654288997121969,0.9686953532012688,0.9150529503822327,0.8860759735107422
8,0.4697156992957108,1.056291459266359,0.9243480563163757,0.8688969016075134
9,0.4167989121368619,0.9391621197110706,0.935192346572876,0.8951175212860107
10,0.4098153180802727,0.9075190614349803,0.9341595768928528,0.8779385089874268
11,0.4930838107170136,0.9413444228995773,0.9302865862846375,0.8905967473983765
12,0.3726255219403761,0.9739535132433148,0.9375161528587341,0.8779385089874268
13,0.2230124624776434,0.6878465539986305,0.9584301710128784,0.9186256527900696
14,0.16386940485607615,0.5746331113351889,0.9672088623046875,0.9141048789024353
15,0.11687954753255454,0.5788540626980472,0.9736638069152832,0.9294756054878235
16,0.11767608639085005,0.6066324858240797,0.972114622592926,0.9168173670768738
17,0.10358800280073563,0.5573244341943837,0.9777950048446655,0.9168173670768738
18,0.08946078866354693,0.5810877886107343,0.9777950048446655,0.9195298552513123
19,0.08017205792570474,0.493199835418577,0.9796023964881897,0.9294756054878235
20,0.05710866161947757,0.5218035855733033,0.9863154888153076,0.932188093662262
21,0.04375912024728038,0.5251742990495499,0.9909631013870239,0.9249547719955444
22,0.03623873985294949,0.5103340213596282,0.9888975024223328,0.9258589744567871
23,0.04679882962029417,0.5054878309018789,0.9886392951011658,0.938517153263092
24,0.03256713777542231,0.5229007850719404,0.9904466867446899,0.9249547719955444
